"fecha_hecho","cod_depto","departamento","cod_muni","municipio","cantidad","unidad"
"2025-09-30T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.00060","KILOGRAMO"
"2025-09-29T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.0066","KILOGRAMO"
"2025-09-29T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.01","KILOGRAMO"
"2025-09-26T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.003","KILOGRAMO"
"2025-09-25T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.035","KILOGRAMO"
"2025-09-25T00:00:00.000","54","NORTE DE SANTANDER","54405","LOS PATIOS","0.02","KILOGRAMO"
"2025-09-21T00:00:00.000","66","RISARALDA","66400","LA VIRGINIA","0.0049","KILOGRAMO"
"2025-09-18T00:00:00.000","52","NARIÑO","52506","OSPINA","0.009","KILOGRAMO"
"2025-09-16T00:00:00.000","05","ANTIOQUIA","05212","COPACABANA","0.003","KILOGRAMO"
"2025-09-16T00:00:00.000","66","RISARALDA","66001","PEREIRA","0.006","KILOGRAMO"
"2025-09-16T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0549","KILOGRAMO"
"2025-09-13T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.038","KILOGRAMO"
"2025-09-13T00:00:00.000","54","NORTE DE SANTANDER","54125","CACOTA","0.01","KILOGRAMO"
"2025-09-13T00:00:00.000","52","NARIÑO","52001","PASTO","18.39","KILOGRAMO"
"2025-09-12T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.005","KILOGRAMO"
"2025-09-11T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.013","KILOGRAMO"
"2025-09-07T00:00:00.000","52","NARIÑO","52001","PASTO","0.025","KILOGRAMO"
"2025-09-06T00:00:00.000","66","RISARALDA","66682","SANTA ROSA DE CABAL","0.0114","KILOGRAMO"
"2025-09-06T00:00:00.000","76","VALLE DEL CAUCA","76001","CALI","0.0045","KILOGRAMO"
"2025-09-05T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.011","KILOGRAMO"
"2025-09-05T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.006","KILOGRAMO"
"2025-09-04T00:00:00.000","66","RISARALDA","66001","PEREIRA","0.001","KILOGRAMO"
"2025-09-03T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.01","KILOGRAMO"
"2025-08-31T00:00:00.000","50","META","50001","VILLAVICENCIO","0.001","KILOGRAMO"
"2025-08-28T00:00:00.000","54","NORTE DE SANTANDER","54518","PAMPLONA","0.0048","KILOGRAMO"
"2025-08-23T00:00:00.000","66","RISARALDA","66170","DOSQUEBRADAS","0.08","KILOGRAMO"
"2025-08-22T00:00:00.000","52","NARIÑO","52399","LA UNION","0.002","KILOGRAMO"
"2025-08-21T00:00:00.000","21801","ECUADOR","2180101","ECUADOR","56.5","KILOGRAMO"
